Game_ID,Game_Name,Genre,Platform,Release_Year,Global_Sales,User_Rating,Active_Players
G0001,Warrior Galaxy,Adventure,Switch,2002,28.62,4.8,95.7
G0002,Legend Quest,Action,Mobile,2019,24.17,5.4,50.9
G0003,Empire Battle,Adventure,PlayStation,2016,37.46,9.6,50.5
G0004,Shadow Rise,Strategy,PlayStation,2019,17.05,8.9,82.2
G0005,Quest Arena,Adventure,Switch,2020,31.26,1.3,41.8
G0006,Empire Fury,Action,Switch,2008,39.62,2.2,97.7
G0007,Quest Legend,Strategy,Mobile,2019,11.35,8.3,95.1
G0008,Rise Quest,Action,PlayStation,2024,16.86,6.8,53.4
G0009,Warrior Rise,Shooter,Xbox,2008,42.3,2.6,60.5
G0010,Rise Arena,Shooter,PlayStation,2023,46.94,7.1,22.3
G0011,Galaxy Shadow,Sports,PC,2021,45.45,7.4,6.8
G0012,Arena Arena,RPG,PlayStation,2013,30.54,9.5,15.9
G0013,Warrior Legend,Shooter,Mobile,2015,35.93,9.7,18.6
G0014,Empire Galaxy,Sports,PC,2011,23.11,8.7,1.3
G0015,Rise Shadow,Action,Mobile,2012,47.13,8.7,16.8
G0016,Legend Arena,Strategy,PC,2003,23.92,4.6,71.4
G0017,Quest Fury,Strategy,PC,2021,40.03,2.8,58.4
G0018,Galaxy Empire,Adventure,Switch,2006,29.6,6.7,4.6
G0019,Battle Shadow,Action,Mobile,2015,21.17,2.1,70.2
G0020,Empire Fury,Sports,PC,2020,24.42,6.9,60.0
G0021,Fury Galaxy,RPG,Xbox,2021,38.48,3.9,77.9
G0022,Arena Shadow,Strategy,PC,2008,12.42,2.6,45.3
G0023,Warrior Shadow,Adventure,PlayStation,2009,2.47,4.1,69.4
G0024,Shadow Rise,Racing,PC,2006,21.78,1.3,20.1
G0025,Rise Battle,Adventure,Switch,2000,36.38,7.4,39.1
G0026,Galaxy Fury,Sports,Mobile,2015,20.2,3.2,82.3
G0027,Quest Arena,Adventure,Xbox,2010,16.5,3.2,2.1
G0028,Quest Quest,Strategy,PlayStation,2012,35.94,6.8,0.8
G0029,Galaxy Battle,Adventure,Switch,2017,25.71,5.9,79.1
G0030,Battle Fury,Sports,PC,2010,41.44,7.4,16.4
G0031,Battle Galaxy,Shooter,Mobile,2016,25.61,4.4,25.3
G0032,Legend Battle,Shooter,Xbox,2006,10.7,7.5,75.0
G0033,Warrior Warrior,RPG,Switch,2008,14.52,5.5,11.6
G0034,Shadow Warrior,RPG,Switch,2005,36.94,7.7,55.0
G0035,Rise Legend,Action,Xbox,2013,27.51,4.5,47.2
G0036,Galaxy Warrior,Strategy,Mobile,2012,18.87,2.3,16.9
G0037,Galaxy Quest,RPG,PC,2013,6.83,5.4,90.5
G0038,Warrior Empire,RPG,Switch,2008,9.95,9.2,16.1
G0039,Battle Arena,Racing,PlayStation,2022,31.68,7.1,80.8
G0040,Legend Galaxy,Racing,Xbox,2014,5.28,9.6,29.7
G0041,Empire Warrior,Racing,Xbox,2004,44.99,4.4,23.2
G0042,Quest Quest,Adventure,PlayStation,2024,28.45,6.5,94.6
G0043,Galaxy Empire,Shooter,Switch,2007,47.82,3.0,24.7
G0044,Empire Quest,Action,PlayStation,2017,22.18,3.9,65.9
G0045,Shadow Fury,Strategy,Xbox,2018,8.09,9.1,29.4
