순위,게임 이름,Label,Sales (2023)
1,Minecraft,"Sandbox
Survival
Simulation
Adventure

Open World
Real-Time
Exploration
Crafting
Building
Farming
Base Management
Loot-Based
Permadeath (if playing in Hardcore mode)
Procedural Generation
Multiple Endings (if including the Ender Dragon and Wither as “endings”)
Inventory Management
Resource Management

Single Player
Multiplayer
Local Co-op (via LAN)
Online Co-op
PvP
PvE
Crossplay (on Bedrock Edition)
Drop-in Drop-out",238000000
2,Grand Theft Auto V,,175000000
3,Wii Sports,,82900000
4,PUBG: Battlegrounds,,75000000
5,Mario Kart 8 / Deluxe,,60460000
6,Super Mario Bros.,,58000000
7,Red Dead Redemption 2,,50000000
8,Pokémon Red / Green / Blue / Yellow,,47520000
9,Terraria,,44500000
10,Wii Fit / Plus,,43800000
11,Tetris (1989),,43000000
12,Pac-Man,,42071635
13,Animal Crossing: New Horizons,,41590000
14,Human: Fall Flat,,40000000
15,The Witcher 3 / Hearts of Stone / Blood and Wine,,40000000
16,Mario Kart Wii,,37380000
17,Wii Sports Resort,,33140000
18,New Super Mario Bros.,,30800000
19,The Legend of Zelda: Breath of the Wild,,30700000
20,Super Smash Bros. Ultimate,,30440000
21,New Super Mario Bros. Wii,,30320000
22,Call of Duty: Modern Warfare,,30000000
23,Diablo III / Reaper of Souls,,30000000
24,The Elder Scrolls V: Skyrim,,30000000
25,Pokémon Gold / Silver / Crystal,,29490000
26,Duck Hunt,,28300000
27,Wii Play,,28020000
28,The Walking Dead,,28000000
29,Grand Theft Auto: San Andreas,,27500000
30,Super Mario World,,26662500
